task_file,demo,interval_id,start,end,length,start_fraction,end_fraction
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_0,0,36,84,49,0.3673469387755102,0.8571428571428571
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_1,0,35,72,38,0.4166666666666667,0.8571428571428571
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_2,0,39,82,44,0.43333333333333335,0.9111111111111111
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_3,0,40,83,44,0.41237113402061853,0.8556701030927835
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_4,0,50,91,42,0.47619047619047616,0.8666666666666667
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_5,0,38,88,51,0.2835820895522388,0.6567164179104478
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_6,0,32,77,46,0.34782608695652173,0.8369565217391305
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_7,0,33,77,45,0.358695652173913,0.8369565217391305
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_8,0,31,71,41,0.3924050632911392,0.8987341772151899
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_9,0,36,77,42,0.4044943820224719,0.8651685393258427
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_10,0,43,83,41,0.46236559139784944,0.8924731182795699
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,demo_11,0,39,58,20,0.3046875,0.453125
